num,subcategories,sid
986,Brick & Block Paving Services,39
987,Brick Wall Construction,39
988,Dry Stone Wall Construction,39
989,Fireplace & Chimney Installation,39
990,Fireplace & Chimney Service & Repair,39
991,General Bricklaying,39
992,Glass Block Installers,39
993,Outdoor Walls & Retaining Wall Construction,39
994,Pebble Dash Application,39
995,Repointing,39
996,Retaining Wall Construction,39
997,Bartending,40
998,Cake Making,40
999,Candy Buffet Services,40
1000,Catering,40
1001,Catering Van Hire,40
1002,Cookery Lessons,40
1003,Food Truck Catering,40
1004,Pastry Chef Services,40
1005,Personal Chef Services,40
1006,Restaurant Hire,40
1007,Sommelier Services,40
1008,Wedding Cakes,40
1009,Bathroom & Shower Plumbing,42
1010,Bathroom Design & Planning,42
1011,Bathroom Installation & Remodel,42
1012,Bathroom Repair,42
1013,Bathroom Tilers,42
1014,Cabinetry,42
1015,Pipe-fitters,42
1016,Plumbing Pipe Repair,42
1017,"Sealing, Grouting & Caulking",42
1018,Shower Installation,42
1019,Stone or Tile Flooring Installation,42
1020,Stone or Tile Flooring Repair,42
1021,Tile and Grout Cleaning,42
1022,Vinyl or Linoleum Installation,42
1023,Vinyl or Linoleum Repair,42
1024,Bathroom Design & Planning,43
1025,Bespoke Furniture Design & Build,43
1026,Bespoke Kitchen Furniture Design & Build,43
1027,Commercial Interior Designers,43
1028,Disability & Accessibility Planning,43
1029,Furniture & Upholstery Suppliers,43
1030,Home Staging,43
1031,Interior Lighting Designer,43
1032,Kitchen Design & Planning,43
1033,Landscape Design,43
1034,Residential Interior Designers,43
1035,Signwriting,43
1036,"Window Blinds, Shutters & Curtains",43
1037,Bathroom Tilers,44
1038,Brick & Block Paving Services,44
1039,Floor Tiling,44
1040,Kitchen Tiling,44
1041,Patio Services,44
1042,"Sealing, Grouting & Caulking",44
1043,Stone or Tile Flooring Installation,44
1044,Stone or Tile Flooring Repair,44
1045,Tile Roof Installation,44
1046,Bathroom Tilers,45
1047,Carpet Fitting & Replacement,45
1048,Carpet Repair,45
1049,Concrete Flooring Installation,45
1050,Floor Tiling,45
1051,Flooring Installation,45
1052,Hardwood Floor Installation,45
1053,Hardwood Floor Repair or Partial Replacement,45
1054,Hardwood Floor Sanding & Finishing,45
1055,Kitchen Tiling,45
1056,Laminate Floor Installation,45
1057,Plastic & Rubber Flooring Installation,45
1058,Plastic & Rubber Flooring Maintenance,45
1059,Stone or Tile Flooring Installation,45
1060,Stone or Tile Flooring Repair,45
1061,Under Floor Heating - Electric System Repair & Maintenance,45
1062,Under Floor Heating - Water System Repair & Maintenance,45
1063,Under Floor Heating Installation,45
1064,Vinyl or Linoleum Installation,45
1065,Vinyl or Linoleum Repair,45
1066,Bathroom Tilers,46
1067,Cabinetry,46
1068,Child Proofing,46
1069,Door Repair Services,46
1070,Drywall & Plasterboard Repair,46
1071,Exterior Painting,46
1072,Fence & Gate Installation,46
1073,Fence & Gate Repair,46
1074,Fitted Wardrobe Installation,46
1075,Floor Tiling,46
1076,Furniture & Flat Pack Assembly,46
1077,Garage Door Installation,46
1078,Garage Door Repairs,46
1079,Garden Clearance,46
1080,Garden Shed Construction,46
1081,Gardening,46
1082,Gazebo Installation,46
1083,Gazebo Repair and Maintenance,46
1084,General Tiling,46
1085,Grass Cutting,46
1086,Greenhouse Construction,46
1087,Gutter Cleaning,46
1088,Gutter Repairs & Maintenance,46
1089,Handyman,46
1090,Hardwood Floor Sanding & Finishing,46
1091,Interior Lighting Installation,46
1092,Internal Door Fitter,46
1093,Kitchen Refurbishment,46
1094,Kitchen Tiling,46
1095,Landscaping,46
1096,Lawn Care,46
1097,Man & Van Services,46
1098,Paint Removal & Stripping,46
1099,Painting & Decoration - Interior,46
1100,Patio Cover Repair and Maintenance,46
1101,Patio Services,46
1102,Picture Hanging and Art Installation,46
1103,Play Equipment Construction,46
1104,Play Equipment Repair,46
1105,Pond & Water Feature Installation,46
1106,Pond & Water Feature Repair & Maintenance,46
1107,"Sealing, Grouting & Caulking",46
1108,Shelving Installation,46
1109,Switches and Outlets,46
1110,Taps & Fixtures Installation,46
1111,Taps Fixtures & Pipes Maintenance,46
1112,Tree and Shrub Planting, Maintenance or Removal,46
1113,TV & Home Theatre Installation or Mounting,46
1114,TV Installation & Mounting,46
1115,Vinyl or Linoleum Repair,46
1116,Wallpapering,46
1117,Worktops & Splashback Installation,46
1118,Worktops & Splashback Repair,46
1119,Bed Bug Extermination,47
1120,Commercial Pest Control,47
1121,Pest Control,47
1122,Wildlife Control,47
1123,Bespoke Doors,48
1124,Conservatory Installation,48
1125,Conservatory Roofing Services,48
1126,Decorative Glazing & Stained Glass,48
1127,Door Repair Services,48
1128,Double Glazing,48
1129,Drapes and Curtains,48
1130,External Door Fitter,48
1131,External Shutter Installation,48
1132,Garage Door Installation,48
1133,Garage Door Repairs,48
1134,Glass Block Installers,48
1135,Glazier,48
1136,Internal Door Fitter,48
1137,Sash Window Installation,48
1138,Sash Window Maintenance,48
1139,Storm Windows,48
1140,Velux / Skylight Window Installation,48
1141,Window Blinds,48
1142,Window Blinds Shutters & Curtains,48
1143,Window Cleaners,48
1144,Window Fitters,48
1145,Window Protection & Treatments,48
1146,Window Screen Repair,49
1147,Blacksmithing,49
1148,Fence & Gate Installation,49
1149,Ironmongery & Metalwork,49
1150,Metal Fabrication,49
1151,Metal Metalwork,49
1152,Metal Staircase Installation or Replacement,49
1153,Signwriting,49
1154,Welding,49
1155,Blog Writing Services,50
1156,Email Copywriting,50
1157,PPC Advert Copywriting,50
1158,SEO Copywriting and Content,50
1159,Website Copywriting,50
1160,Branded Clothing,51
1161,Brochure Printing,51
1162,Business Card Printing,51
1163,Canvas Printing,51
1164,General Printing,51
1165,Leaflet Printing,51
1166,NCR Printing,51
1167,Office Stationery,51
1168,Postcard Printing,51
1169,Poster Printing,51
1170,Screen Printing,51
1171,Spot Colour Printing,51
1172,T-shirt and Clothes Printing,52
1173,Branded Clothing,52
1174,Hair Extensions,52
1175,Hair Transplants,52
1176,Laser Hair Removal,52
1177,Tattoo Artists,52
1178,Tattoo Removal,52
1179,Breast Enlargement & Reductions,53
1180,Cosmetic Fillers,53
1181,Hair Transplants,53
1182,Liposuction,53
1183,Other Cosmetic Surgery,53
1184,Rhinoplasty,53
1185,Brexit Mediator,54
1186,Cadbury Cr??me Egg Hunter,54
1187,Competition Enterers,54
1188,Coupon Collector,54
1189,Emergency Skype Counselling,54
1190,Flu Fighter,54
1191,FUT Trader,54
1192,Harry Potter Wizards Unite Player,54
1193,Honey Trapper,54
1194,KonMari Master,54
1195,McDonald's Monopoly Players,54
1196,Online Eradicator,54
1197,Pop Culture Coach,54
1198,Reality Star Squad,54
1199,Toddler Coding Tutor,54
1200,Troll Slayer,54
1201,Wingmen & Wingwomen,54
1202,World Cup Workers,54
1203,Brick & Block Paving Services,55
1204,Concrete Delivery,55
1205,Concrete Flooring Installation,55
1206,Concrete Installation,55
1207,Concrete Levelling,55
1208,Concrete Removal,55
1209,Concrete Repair & Maintenance,55
1210,Concrete Sawing,55
1211,Driveway Installation,55
1212,Foundation Services,55
1213,Retaining Wall Construction,55
1214,Structural Steel Work,55
1215,Brick & Stone Cleaning,56
1216,Carpet Cleaning,56
1217,Chimney Cleaning,56
1218,Commercial & Office Cleaning,56
1219,Commercial & Office Fogging,56
1220,Deep Cleaning Services,56
1221,Drain & Sewer Clearing,56
1222,Driveway Cleaning,56
1223,Duct & Vent Cleaning,56
1224,End of Tenancy Cleaning,56
1225,Garden Clearance,56
1226,Gutter Cleaning,56
1227,Hot Tub and Spa Cleaning,56
1228,House Cleaning,56
1229,House Clearance,56
1230,Odour Removal,56
1231,Oven Cleaning,56
1232,Post Construction Property Cleanup,56
1233,Pressure Washing,56
1234,Rug Cleaning,56
1235,Skip Hire,56
1236,Steam Cleaning,56
1237,Tile and Grout Cleaning,56
1238,Upholstery and Furniture Cleaning,56
1239,Waste Management,56
1240,Window Cleaners,56
1241,Bridesmaids & Groomsmen,57
1242,Bus & Coach Hire,57
1243,Engagement Photography,57
1244,Engagement Videography,57
1245,Honeymoon Planners,57
1246,Honeymoon Travel Agencies,57
1247,Marquee Hire,57
1248,Stag & Hen Venues,57
1249,Vintage Car Hire,57
1250,Wedding Cakes,57
1251,Wedding Car Hire,57
1252,Wedding Catering,57
1253,Wedding Celebrants,57
1254,Wedding Decorating,57
1255,Wedding DJ,57
1256,Wedding Dress Alterations,57
1257,Wedding Dresses,57
1258,Wedding Entertainment,57
1259,Wedding Flowers,57
1260,Wedding Hairstylist,57
1261,Wedding Insurance,57
1262,Wedding Jewellery,57
1263,Wedding Makeup,57
1264,Wedding Music Bands,57
1265,Wedding Musicians,57
1266,Wedding Photo Booths,57
1267,Wedding Photography,57
1268,Wedding Planning,57
1269,Wedding Sound & Lighting,57
1270,Wedding Stationery,57
1271,Wedding Stylist,57
1272,Wedding Toastmasters,57
1273,Wedding Venues,57
1274,Wedding Videography,57
1275,Budgeting and Forecasting Services,58
1276,Business Financial Planning,58
1277,Business Modelling Services,58
1278,Valuations,58
1279,Venture Capital,58
1280,Business Consulting,59
1281,Business Registration,59
1282,Coffee Machines,59
1283,Commercial Government Licensing,59
1284,Commercial Paint Spraying,59
1285,Data Entry,59
1286,Interpreters,59
1287,Office Moving,59
1288,Office Space Rental,59
1289,Personal Government Licensing,59
1290,Translation,59
1291,Virtual Personal Assistant,59
1292,Water Coolers,59
1293,Business Interruption Insurance,60
1294,Car and Fleet Insurance,60
1295,Directors Liability Insurance,60
1296,Health Insurance,60
1297,Insurers,60
1298,Key Man Insurance,60
1299,Life Insurance,60
1300,Property Insurance,60
1301,Public Liability Insurance,60
1302,Stock Insurance,60
1303,Business Mobile Services,61
1304,Internet Service Provider,61
1305,Leased Lines,61
1306,Network Installation and Cabling,61
1307,Office Phone Systems,61
1308,Video Conferencing,61
1309,Business Stationery Design,62
1310,Email Template Design,62
1311,Flyer & Leaflet Design,62
1312,Logo Design,62
1313,Cabinetry,63
1314,Granite Worktop Installation,63
1315,Kitchen Design & Planning,63
1316,Kitchen Installation & Remodelling,63
1317,Kitchen Refurbishment,63
1318,Kitchen Tiling,63
1319,Plumbing Pipe Repair,63
1320,Sealing, Grouting & Caulking,63
1321,Stone or Tile Flooring Installation,63
1322,Stone or Tile Flooring Repair,63
1323,Tile and Grout Cleaning,63
1324,Vinyl or Linoleum Installation,63
1325,Vinyl or Linoleum Repair,63
1326,Worktops & Splashback Installation,63
1327,Worktops & Splashback Repair,63
1328,Clothing Alteration & Tailoring,64
1329,Suit Hire,64
1330,Coding Tuition,65
1331,Database Development,65
1332,General Software development,65
1333,Mobile Software Development,65
1334,Software Testing,65
1335,Web Development,65
1336,Commercial Catering,66
1337,Commercial Event Planning,66
1338,Corporate Coach and Minibus Hire,66
1339,Corporate Event Entertainment,66
1340,Corporate Event Photography,66
1341,Corporate Event Venue Hire,66
1342,Security Guard Services,66
1343,Commercial Legal Services,67
1344,Debt Recovery & Collection,67
1345,Franchising,67
1346,Intellectual Property & Patent Lawyer,67
1347,Merger & Acquisition Lawyers,67
1348,Trademark Lawyers,67
1349,Couriers,68
1350,Leaflet Delivery,68
1351,Mail Delivery,68
1352,Parcel Delivery,68
1353,Coving, Cornice, Trim, & Moulding,69
1354,Exterior Painting,69
1355,Interior Plastering & Rendering,69
1356,Mural Painting,69
1357,Paint Removal & Stripping,69
1358,Painting & Decoration - Interior,69
1359,Pebble Dash Application,69
1360,"Sealing, Grouting & Caulking",69
1361,Wallpapering,69
1362,Water Damage Cleanup and Restoration,69
1363,"Coving, Cornice, Trim, & Moulding",70
1364,Drywall & Plasterboard Repair,70
1365,Home Insulation,70
1366,Interior Plastering & Rendering,70
1367,"Sealing, Grouting & Caulking",70
1368,Soundproofing,70
1369,Weatherproofing,70
1370,Data backup,71
1371,Data Destruction,71
1372,Database security,71
1373,Document Destruction,71
1374,Network security,71
1375,Overall System Security,71
1376,Data Sheets,72
1377,User Documentation,72
1378,White Paper Writing,72
1379,Dog & Pet Grooming,73
1380,Dog Training,73
1381,Dog Walking,73
1382,Farriers,73
1383,Kennels,73
1384,Livery Yards and Stables,73
1385,Pet Care,73
1386,Pet Funerals and Cremations,73
1387,Pet Sitting,73
1388,Pet Trainers,73
1389,Vets,73
1390,Double Glazing,74
1391,Draught Proofing & Window Insulation,74
1392,Electric Charge Points Installation,74
1393,Geothermal Energy Services,74
1394,Home Energy Auditing & Energy Performance Certificates,74
1395,Home Insulation,74
1396,Solar Heating System Installation,74
1397,Solar Heating System Maintenance,74
1398,Solar Panel Installation,74
1399,Solar Water Heater Installation & Maintenance,74
1400,Thermal Imaging,74
1401,Weatherproofing,74
1402,Estate & Lettings Agents,75
1403,Man & Van Services,75
1404,Off-Site Storage Services,75
1405,Property Inspection & Inventory,75
1406,Property Management,75
1407,Real Estate Services,75
1408,Relocation Consultants,75
1409,Explainer Video Services,76
1410,Promotional Video Production,76
1411,Training Video Production,76
1412,Video Design & Production,76
1413,Fence & Gate Installation,77
1414,Fence & Gate Repair,77
1415,Ironmongery & Metalwork,77
1416,Security Fence Installation,77
1417,Security Gate & Barrier Installation,77
1418,Flat Roofing Installation,78
1419,Gutter Cleaning,78
1420,Gutter Guards,78
1421,Gutter Installation or Replacement,78
1422,Gutter Repairs & Maintenance,78
1423,Metal Roof Installation,78
1424,Roof Cleaning,78
1425,Roof Repair,78
1426,Roofing Installation or Replacement,78
1427,Roofing Leadwork,78
1428,Scaffolding Hire,78
1429,Slate Roof Installation,78
1430,Thatched Roof Installation,78
1431,Thatching Maintenance,78
1432,Tile Roof Installation,78
1433,Velux / Skylight Window Installation,78
1434,Freelance Journalists,80
1435,Press Release Creation,80
1436,Graphic Design,81
1437,Infographics,81
1438,UX & UI Design,81
1439,Web Design,81
1440,Hardware Infrastructure,82
1441,Hosting & Cloud Services,82
1442,Network Infrastructure,82
1443,International Law Specialists,83
1444,Property Law and Conveyancing,83
1445,Management Training,84
1446,Motivational Speaking,84
1447,Prince2 Training,84
1448,Sales Training,84
1449,Six Sigma Training,84
1450,Market Analysis,85
1451,Market Research Surveys,85
1452,Packaging Design,85
1453,Packaging Production,85
1454,Point of Sale Design,85
1455,Product Design,85
1456,Prototype Design,85
1457,Pensions and Incentives,86
1458,Tax Lawyer,86
1459,Porch Installation,87
1460,Small Business Loans,88
1461,Tour Guides,89
1462,Travel Agencies,89
