num,subcategories,sid
236,Life Coaching,10
237,Massage Therapy,10
238,Massage Training,10
239,Nutritionists & Dietitians,10
240,Osteopathy,10
241,Physical Therapy,10
242,Podiatry & Chiropodists,10
243,Post Natal Depression,10
244,Private Doctors,10
245,Private Psychiatry,10
246,Psychodynamic Psychotherapy,10
247,Psychology,10
248,Psychotherapy,10
249,Qigong Lessons,10
250,Reflexology,10
251,Reiki Healing,10
252,Relationship and Marriage Counselling,10
253,Shiatsu,10
254,Sophrology,10
255,Stylists,10
256,Therapist,11
257,Advertising,11
258,Advertising Copywriting,11
259,Online Media Buying,11
260,Print Media Purchasing,11
261,Radio Airtime Purchasing,11
262,Straplines and Slogans,11
263,TV Media Buying,11
264,Advertising Copywriting,12
265,Articles and Report Writing,12
266,Brochure Copywriting,12
267,Case Study Copywriting,12
268,Email Copywriting,12
269,Marketing Copywriting,12
270,PPC Advert Copywriting,12
271,Script Writing Services,12
272,SEO Copywriting and Content,12
273,Website Copywriting,12
274,Aerial & Drone Photography,12
275,Architectural Photography,12
276,Boudoir Photography,12
277,Commercial & Corporate Photographers,12
278,Engagement Photography,12
279,Event & Party Photography,12
280,Event Videography,12
281,General Photography,12
282,Headshot Photographers,12
283,Models,12
284,Nature Photography,12
285,Passport Visa and ID Photography,12
286,Pet Photography,12
287,Photo Scanning,12
288,Photography Assistants,12
289,Portrait Photographers,12
290,Property Photography,12
291,Sports Photography,12
292,Video Editing,12
293,Wedding Photography,12
294,Wedding Videography,12
295,Aerial Installation,13
296,Aerial Repairs & Maintenance,13
297,Digital Home Networking,13
298,Electronic Blinds Shutters & Curtains Installation,13
299,Electronic Blinds Shutters & Curtains Repair,13
300,Home Automation Services,13
301,Satellite & Set Top Boxes,13
302,Thermostat Installation & Repair,13
303,TV & Home Theatre Installation or Mounting,13
304,TV & Home Theatre Servicing,13
305,TV Installation & Mounting,13
306,Affiliate Marketing,14
307,Branded Merchandise,14
308,Branding & Brand Management,14
309,Direct Mail Marketing Production,14
310,Email Management,14
311,Email Marketing,14
312,Marketing Agencies,14
313,Marketing Strategy Consulting,14
314,Mobile Marketing,14
315,Other Digital Marketing Services,14
316,Paid Search (PPC) Specialists,14
317,Public Relations Agency,14
318,Search Engine Optimization (SEO) Specialists,14
319,Social Media Marketing,14
320,Telemarketing,14
321,Affiliate Marketing,15
322,Email Marketing,15
323,Other Digital Marketing Services,15
324,Paid Search (PPC) Specialists,15
325,Search Engine Optimization (SEO) Specialists,15
326,Social Media Marketing,15
327,Air Conditioning Installation,16
328,Air Conditioning Service & Repair,16
329,Boiler Installation or Replacement,16
330,Boiler Repair or Maintenance,16
331,Boiler Service,16
332,Ceiling Fan Installation and Repair,16
333,Central Heating System Installation & Replacement,16
334,Central Heating System Repair & Maintenance,16
335,Damp Proofing,16
336,Draught Proofing & Window Insulation,16
337,Duct & Vent Cleaning,16
338,Duct & Vent Maintenance or Repair,16
339,Fan Installation,16
340,Fan Service & Repair,16
341,Fireplace & Chimney Installation,16
342,Fireplace & Chimney Service & Repair,16
343,Gas Appliance Installation,16
344,Gas Appliance Maintenance or Repair,16
345,Gas Safety Check,16
346,General Plumbing,16
347,Geothermal Energy Services,16
348,Heat Pump Installation and Repair,16
349,Home Insulation,16
350,Mould Inspection & Remediation,16
351,Mould Remediation,16
352,Solar Heating System Installation,16
353,Solar Heating System Maintenance,16
354,Thermostat Installation & Repair,16
355,"Timber Preservation, Woodworm & Rot",16
356,Under Floor Heating - Electric System Repair & Maintenance,16
357,Under Floor Heating - Water System Repair & Maintenance,16
358,Under Floor Heating Installation,16
359,Water Heater Installation,16
360,Water Heater Repair or Maintenance,16
361,Aircraft Maintenance Specialists,17
362,ATM Repair,17
363,Boat Maintenance Specialists,17
364,Car & Vehicle Bodyshops,17
365,Car & Vehicle Mechanics,17
366,Coin Operated Machine Repair,17
367,Computer Repair,17
368,Data Recovery,17
369,Dishwasher Repair,17
370,Exercise Equipment Repair,17
371,Heavy Equipment Repair Services,17
372,Lawn Mower Repair,17
373,Medical Equipment Repair,17
374,Mobile Phone Unlocking,17
375,Network Database and IT Support,17
376,Phone or Tablet Repair,17
377,Pool Table Repair Services,17
378,Pressure Washer Repair,17
379,Printer and Copier Repair,17
380,Refrigerator Repair,17
381,Telephone System Services,17
382,TV & AV Repair,17
383,Vacuum Cleaner Repair,17
384,Vehicle Window Tinting,17
385,Washing Machine Repair,17
386,Airport Transfers,18
387,Auto Electrical,18
388,Bus & Coach Hire,18
389,Car Cleaning & Valet,18
390,Limousine Hire,18
391,Removal Companies,18
392,Vehicle Hire Companies,18
393,Animal Show Entertainment,19
394,Balloon Artistry,19
395,Balloon Twisters & Entertainers,19
396,Belly Dancing,19
397,Body Painting,19
398,Bouncy Castle Hire,19
399,Bubble Blowing,19
400,Caricaturing,19
401,Casino Hire,19
402,Circus Acting,19
403,Clown Entertainment,19
404,Comedians,19
405,Costumed Character Entertainment,19
406,Dance Entertainment,19
407,Dove Releasing,19
408,Event Entertainment,19
409,Face Painting,19
410,Fireworks Show Entertainment,19
411,Free Running and Parkour Performing,19
412,Fun Fair Hire,19
413,Henna Tattooing,19
414,Impersonating,19
415,Laser Show Entertainment,19
416,Magician,19
417,MC and Hosts,19
418,Mechanical Bull Rental Services,19
419,Miming,19
420,Mobile Petting Zoo Entertainment,19
421,Photo Booth Hire,19
422,Pony Riding,19
423,Portrait Artistry,19
424,Puppet Show Entertainment,19
425,Soft Play Hire,19
426,Storytellers,19
427,Stunt Show Entertainment,19
428,Temporary Tattoo Artistry,19
429,Venue Hire,19
430,Appliance Installation & Removal,20
431,Appliance Repair,20
432,Ceiling Fan Installation and Repair,20
433,Electrical Inspections & PAT Testing,20
434,Electricians,20
435,Electronic Blinds Shutters & Curtains Installation,20
436,Electronic Blinds Shutters & Curtains Repair,20
437,Fan Installation,20
438,Fan Service & Repair,20
439,Generator Repair,20
440,Generator Services,20
441,Holiday Lighting Installation,20
442,Hot Tub and Spa Installation Maintenance & Cleaning,20
443,Hot Tub and Spa Repair,20
444,Interior Lighting Designer,20
445,Interior Lighting Installation,20
446,Lamp Installation,20
447,Outdoor Lighting & Power,20
448,Power Invertor Services,20
449,Refrigerator Installation,20
450,Refrigerator Repair,20
451,Rewiring,20
452,Solar Battery Installation,20
453,Solar Panel Cleaning,20
454,Solar Panel Installation,20
455,Solar Panel Repair,20
456,Switches and Outlets,20
457,Under Floor Heating - Electric System Repair & Maintenance,20
458,Under Floor Heating Installation,20
459,Vacuum Cleaner Repair,20
460,Washing Machine Installation,20
461,Washing Machine Repair,20
462,Water Heater Installation,20
463,Water Heater Repair or Maintenance,20
464,Water Softening & Purification System Installation,20
465,Water Softening & Purification System Maintenance,20
466,Aquarium Services,21
467,Bathroom & Shower Plumbing,21
468,Bathroom Installation & Remodel,21
469,Bathroom Repair,21
470,Boiler Installation or Replacement,21
471,Boiler Repair or Maintenance,21
472,Central Heating System Installation & Replacement,21
473,Central Heating System Repair & Maintenance,21
474,Dishwasher Installation,21
475,Drain & Sewer Clearing,21
476,Gas Appliance Installation,21
477,Gas Appliance Maintenance or Repair,21
478,Gas Safety Check,21
479,General Plumbing,21
480,Gutter Cleaning,21
481,Gutter Installation or Replacement,21
482,Gutter Repairs & Maintenance,21
483,Hot Tub and Spa Installation Maintenance & Cleaning,21
484,Hot Tub and Spa Repair,21
485,Pipe-fitters,21
